username;description
munakk;Listening to the awesome feminist scholar Cynthia Enloe speaking about the relationship between the #metoo movement? https://t.co/aeoOhchgwA
irishspy;#MeToo movement lawmaker investigated for sexual misconduct https://t.co/bTilUvoHOh |Female groping male #CApolitics
CanadasMajority;@DianeMariePosts @kwralex @gmbutts #GeraldButts is #JustinTrudeau &amp
wolfbait117;RT @JustinVerlander: Couldnt be more proud of @KateUpton. I know this difficult decision to tell her story is to empower others in similar?
PPIassociation;Missed our quarterly HR webinar? Our guru Adriane Burkland Harrison?from Printing Industries of America?brought awe? https://t.co/4kxdhhnxP9
PaulReneLeyva2;RT @OneResister: @funder The military parade for Trump should consist of:
Paco20161973;RT @RepBarragan: Shame on John Kelly for overlooking these terrible domestic abuse allegations against a White House official. #TimesUp for?
MrsCruz1999;C. MacKinnon in the NYT on why #MeToo is doing what legal reforms couldnt wrote typically took 3-4 women testifyin? https://t.co/x0FA25zb2b
Racoon2013;Approved sexual assualt by metoo. You idiots!
AlmBardy;RT @GretchenCarlson: Amazing that #RobPorter domestic abuse allegations come to light and the White House apparently tried to cover it up.?
sadteendreamss;RT @ajplus: Salma Hayek told @Oprah she felt ashamed for not sharing her #MeToo story with the first wave of Hollywood women. 
CindynEncinitas;RT @activist360: Charles in Charge cast member Alexander Polinsky backs Nicole Eggert claims against Trump-loving, child sexual assaulter?
kelzlison;While fighting for gender equality I don?t want to lose my rights as a man I still want to be able to complement wo? https://t.co/6kvyV3ZGJx
OsgoodeNews;"RT @YorkUnews: Its a natural human response to want to set the record straight"" says @OsgoodeNews Prof Trevor Farrow about TVO host @spai?"""
Iyoku07;RT @Grummz: Nolan Bushnell had his GDC award rescinded because of fakenews spread by The Verge and Brianna Wu.  Women of Atari rallied to c?
lisavoc;es w?re auch eher bizarr, als zeichen der #metoo bewegung in schwarz mit richard lugner auf den #opernball zu gehen
jjesschastain;RT @KateUpton: It?s disappointing that such an iconic women?s brand @GUESS is still empowering Paul Marciano as their creative director #me?
Demeter_Designs;RT @cmclymer: California Assemblywoman Cristina Garcia is being accused by two men, a former staffer and a lobbyist, of sexual assault:
Gamersgamz;Alamo Drafthouses Long History of Minimizing Sexual Assault and Harassment https://t.co/M3bZS7ou2c #metoo? https://t.co/OZCP1jM0Qp
sineaddee;RT @roemcdermott: ?I was raped
biophilicism;RT @KateUpton: It?s disappointing that such an iconic women?s brand @GUESS is still empowering Paul Marciano as their creative director #me?
LiteraryTruce;RT @ed_peninsula: MERYL STREEP. SIEMPRE ELLA. Descubre la vida de un icono que no deja de darnos ejemplo. https://t.co/QMZ5luJipc #Metoo ht?
stevedotsimpson;Ummm, what?! So wrong-headed I dont know where to start... Jonathan Kay:  The Paikin Affair serves up at least fou? https://t.co/PfCLBXz4JA
Quez187;RT @ajplus: Salma Hayek told @Oprah she felt ashamed for not sharing her #MeToo story with the first wave of Hollywood women. 
